,NIDID,cell_id,cell_id_orig,lat,lat_orig,lon,lon_orig,res_capacity,storage_ratio,storage_ratio_25th,storage_ratio_75th,parameter_type,WBM_Decision,ror_type,,*res_capacity is maximum storage in acre-feet
159,CA00805,3231213,3231213,34.458332,34.4583,-118.758331,-118.7583,88000,0.994318182,0.25,0.713969857,calibrated,WBM Input,Peaking,,
160,CA00812,3146766,3146766,35.758335,35.7583,-120.89167,-120.8917,470000,0.804042553,0.201010638,0.603031915,avge,WBM Input,Unknown,,
161,CA00814,2410350,2410350,38.825001,38.825,-120.375,-120.375,43496,0.781681074,0.583917011,0.883209776,calibrated,WBM Input,Unknown,,
162,CA00815,2405551,2405551,38.858334,38.8583,-120.458336,-120.4583,3000,1,0.25,0.75,avge,WBM Input,Unknown,,
163,CA00816,2406704,2406704,38.858334,38.8583,-120.425003,-120.425,266369,0.765854886,0.191463721,0.574391164,avge,WBM Input,Unknown,,
164,CA00817,2405291,2405291,38.825001,38.825,-120.541664,-120.5417,543,0.972375691,0.243093923,0.729281768,avge,WBM Input,Unknown,,
165,CA00820,2414145,2414145,39.008335,39.0083,-120.341667,-120.3417,69309,0.735835173,0.183958793,0.55187638,avge,WBM Input,Unknown,,
166,CA00823,2403676,2403676,38.775002,38.775,-120.691666,-120.6917,16000,1,0.25,0.75,avge,WBM Input,Unknown,,
167,CA00833,3286370,3286370,40.358334,40.3583,-123.425003,-123.425,60200,0.797342193,0.199335548,0.598006645,avge,WBM Input,Unknown,,
168,CA00856,2408040,2408040,39.108334,39.1083,-120.474998,-120.475,134000,1,0.25,0.75,avge,WBM Input,Unknown,,
169,CA00857,2405810,2405810,39.075001,39.075,-120.39167,-120.3917,207000,1,0.25,0.75,avge,WBM Input,Unknown,,
170,CA00858,2405937,2405937,39.025002,39.025,-120.591667,-120.5917,155,1,0.25,0.75,avge,WBM Input,Unknown,,
171,CA00863,2403765,2403765,39.391666,39.3917,-121.14167,-121.1417,1010000,0.986138614,0.64685773,0.84646763,calibrated,WBM Input,Unknown,,
172,CA00867,2408064,2408064,38.291668,38.2917,-120.908333,-120.9083,24000,0.916666667,0.229166667,0.6875,avge,WBM Input,Unknown,,
173,CA00911,2403606,2403606,38.924999,38.925,-122.574997,-122.575,378000,0.846560847,0.211640212,0.634920635,avge,WBM Input,Unknown,,
174,CA01080,3231295,3231295,34.558334,34.5583,-118.625,-118.625,32500,0.852307692,0.213076923,0.639230769,avge,WBM Input,Unknown,,
175,CA01107,2405758,2405758,39.091667,39.0917,-122.541664,-122.5417,359000,0.727019499,0.200983625,0.679462781,calibrated,WBM Input,Unknown,,
176,CA01224,2408072,2408072,38.408333,38.4083,-119.974998,-119.975,193000,0.979274611,0.244818653,0.734455959,avge,WBM Input,Peaking,,
177,CA01257,2404766,2404766,38.258335,38.2583,-120.275002,-120.275,2930,0.767235495,0.191808874,0.575426621,avge,WBM Input,Peaking,,
178,CA01364,3204174,3204174,34.208332,34.2083,-117.341667,-117.3417,960,0.885416667,0.221354167,0.6640625,avge,WBM Input,Unknown,,
179,CA10019,3272135,3272135,34.258335,34.2583,-118.39167,-118.3917,44990,2.22E-05,5.56E-06,1.67E-05,avge,WBM Input,Unknown,,
180,CA10021,2730331,2730331,34.341667,34.3417,-117.241669,-117.2417,179400,5.57E-06,1.39E-06,4.18E-06,avge,WBM Input,Unknown,,
181,CA10022,3203694,3203694,33.891666,33.8917,-117.64167,-117.6417,295581,3.38E-06,8.46E-07,2.54E-06,avge,WBM Input,Unknown,,
182,CA10024,3268879,3268879,34.125,34.125,-117.958336,-117.9583,45409,2.20E-05,5.51E-06,1.65E-05,avge,WBM Input,Unknown,,
183,CA10025,3272136,3272136,34.174999,34.175,-118.491669,-118.4917,27563,3.63E-05,9.07E-06,2.72E-05,avge,WBM Input,Unknown,,
184,CA10027,3268872,3268872,34.025002,34.025,-118.041664,-118.0417,66702,1.50E-05,3.75E-06,1.12E-05,avge,WBM Input,Unknown,,
185,CA10102,2403204,2403204,39.808334,39.8083,-122.341667,-122.3417,143700,1,0.261630277,0.597906751,calibrated,WBM Input,Unknown,,
186,CA10106,2402394,2402394,35.658333,35.6583,-118.474998,-118.475,568000,1,0.190324966,0.434786363,calibrated,WBM Input,Unknown,,
